,PC1,PC2,PC3
Asaccharobacter_celatus,0.07181174085416919,-0.12259102545602486,0.11828639644187247
Firmicutes_bacterium_CAG_145,0.0955135918613705,-0.037713582640527044,0.09260097549796066
Eubacterium_sp_CAG_38,-0.09637046911258322,0.0189476968906668,-0.08939160108983218
Escherichia_coli,0.10406133241867577,0.014982346278894465,-0.011930716883846776
Bacteroides_ovatus,-0.07646737788041338,0.12935681387339484,0.03640162270448803
Streptococcus_australis,-0.09272879406929505,-0.06178123404972428,0.006295583547228913
Intestinibacter_bartlettii,0.07436711118213192,0.02562270180441873,0.12881870900125197
Bifidobacterium_adolescentis,-0.0026782689650906,0.20529168874810227,-0.1279607769806469
Parasutterella_excrementihominis,0.006957545645609167,-0.1528566809911873,-0.20561384789217277
Clostridium_bolteae,0.09651655099746057,0.015885155747934063,-0.11184811431207509
Oscillibacter_sp_CAG_241,0.09756276548502536,0.03216099171261195,0.07811259463123212
Bifidobacterium_pseudocatenulatum,-0.09168860305259766,0.053800792051492165,-0.13001305700562268
Bacteroides_sp_CAG_144,0.07921639325624975,-0.1384175309131921,0.023103676471134704
Veillonella_rogosae,-0.10265765941008728,0.0021188482342908636,-0.0164225676663207
Enterorhabdus_caecimuris,0.08843768704739077,-0.08407951509948862,0.035890873748513415
Firmicutes_bacterium_CAG_110,0.09195721359607123,0.046395747547693926,0.1127643208480184
Bacteroides_massiliensis,-0.0838877551191771,-0.1248070139112986,0.02073945842274879
Clostridium_bolteae_CAG_59,0.09295635136758473,0.05389280719455314,-0.09885055758255712
Blautia_hydrogenotrophica,0.09857626411593086,-0.047173977552961,-0.016868501484418742
Roseburia_sp_CAG_471,-0.09960472762668787,-0.01666001916877584,0.0026615905393220503
Proteobacteria_bacterium_CAG_139,0.08513044091264944,-0.10284829893632068,-0.023855221270011252
Streptococcus_salivarius,-0.003843043354996133,0.2217606046030231,0.08433051130496418
Veillonella_infantium,-0.0991145154160982,0.040993559982796746,0.05470916010980254
Clostridium_citroniae,0.07582535908831306,0.009665908631734986,-0.11578271164930132
Eisenbergiella_massiliensis,0.09118156776977343,-0.0686784424853272,0.04910182624717556
Pseudoflavonifractor_capillosus,0.09827187910270134,-0.05238621995772731,-0.05478467667611307
Eisenbergiella_tayi,0.10300256088080152,0.011736195409223174,-0.03674450982346555
Odoribacter_splanchnicus,0.09983591131935085,-0.02274695810258638,0.024869507930642354
Haemophilus_sp_HMSC71H05,-0.09749085774647871,0.04022919600985529,0.03210305817405494
Lactococcus_lactis,-0.0747111704032874,-0.12188118107096735,0.12012943015690075
Enorma_massiliensis,0.09333490818781255,-0.0403778405581111,0.0537205850668545
Adlercreutzia_equolifaciens,0.07451255745051603,-0.11812815857640524,0.05212812134336114
Roseburia_intestinalis,-0.07449725851586496,-0.13415753470998537,-0.048053687563762756
Streptococcus_sp_A12,-0.08348455671110128,-0.0776514715977182,0.05251605435588898
Eubacterium_ramulus,-0.08588251366429137,-0.10729984049691407,0.031262506829650975
Bacteroides_finegoldii,-0.05537484482293901,-0.18801496874161328,-0.05645042315368248
Turicimonas_muris,0.08881198113623706,-0.09901065013648329,-0.05953805127969957
Alistipes_shahii,0.05895267940513973,0.04785041949799635,0.17152954289095007
Ruminococcus_gnavus,0.1002692923462056,0.029972966180027417,-0.06681599924059398
Holdemania_filiformis,0.09594212093571942,-0.04589034899308771,-0.09578099240619702
Coprococcus_catus,-0.09011073475319192,-0.019815316253931334,0.07711270161995513
Barnesiella_intestinihominis,0.09649276573421488,-0.04362328453873798,0.02703057028983987
Roseburia_sp_CAG_309,-0.034367477237975584,-0.11867624040960183,0.22589110217040198
Collinsella_aerofaciens,0.09246011464804677,0.04028455518815428,0.06849076686429727
Firmicutes_bacterium_CAG_170,-0.08204484968726994,-0.0992109333199402,0.10158767814679057
Ruminococcus_bromii,0.09081637352015451,-0.09236322707816766,0.059400558936134565
Fretibacterium_fastidiosum,-0.004245885562299654,-0.03165493746649073,0.2726054717231797
Streptococcus_mitis,0.08696192422920376,-0.10236549235650526,0.023519556461864696
Collinsella_stercoris,0.05369311558925205,-0.07800758785506169,0.14549938071622429
Coprococcus_comes,0.09795824525574517,-0.047036084088695786,0.05062930308448836
Veillonella_parvula,-0.08949647273610463,0.08077661530460062,0.06499546081042919
Lachnospira_pectinoschiza,0.07169683093282173,-0.05950102894418785,-0.12873149110811158
Bacteroides_caccae,0.09793634786484581,0.05248392764151113,0.01533289113884612
Bacteroides_galacturonicus,-0.03186368437440805,-0.07241278922515618,-0.1710192700402751
Hungatella_hathewayi,0.09083591905893673,0.08810801139905577,0.04513354680877381
Gemella_sanguinis,0.03767802461171258,0.04724465188600041,-0.17088028796838328
Phascolarctobacterium_faecium,0.06716107166437049,-0.156588333387153,-0.02092602464834429
Parabacteroides_goldsteinii,-0.0020236253230750292,-0.1549584098767132,-0.0767933728320684
Dialister_invisus,-8.922335397789826e-05,0.21189529500741833,0.015495573803817409
Clostridium_lavalense,0.09450218237129522,-0.04355898353356841,-0.0998456296692062
Butyricimonas_virosa,0.09103119993012948,-0.06597480473112131,0.10788726816625532
Lactobacillus_rogosae,-0.036643616067019935,-0.018459091105378227,-0.1463480506072662
Paraprevotella_xylaniphila,-0.08530694171830572,-0.1317439262667314,-0.017276221658139114
Holdemanella_biformis,-0.09640873122146454,-0.007450930909195462,0.06644200511493568
Dielma_fastidiosa,0.10078369849329019,0.008349235218537579,-0.050670548964298665
Ruminococcaceae_bacterium_D16,0.09134519382636871,-0.03344624294530551,-0.06259853310820453
