,max_abs_r,n_significant,profile_variance,profile_range,max_abs_r_norm,n_sig_norm,var_norm,composite_score
Roseburia_sp_CAG_471,0.147418837616839,1,0.002757842417080094,0.213930525501384,0.38756548311173145,0.08333333333333333,0.25674453834353994,0.24837899449724424
Proteobacteria_bacterium_CAG_139,0.109103445399859,3,0.0017900104156328843,0.1538354276405239,0.2868339637533594,0.25,0.16664309568433397,0.24389435942242726
Streptococcus_salivarius,0.0912615867251812,3,0.002468731568366338,0.16780533706071898,0.23992755281803885,0.25,0.2298294285738846,0.2409283782706867
Veillonella_infantium,0.114488994012498,2,0.002615638174481295,0.20791188777728692,0.3009926207040009,0.16666666666666666,0.24350586945136404,0.23960684897777468
Clostridium_citroniae,0.0996731490048003,3,0.002019852450984369,0.1804531030792701,0.2620416275952274,0.25,0.1880405065344923,0.23932677767171406
Eisenbergiella_massiliensis,0.096728718564113,3,0.0021443277571269225,0.1852620029283228,0.2543006928226993,0.25,0.19962867952538316,0.2391274470104255
Pseudoflavonifractor_capillosus,0.0854806339121082,3,0.0026332342959896316,0.1553926787276282,0.2247293745793248,0.25,0.2451440007910357,0.23867775002948885
Eisenbergiella_tayi,0.0881500975631726,3,0.0024909777714132346,0.17522922886282222,0.23174741912708488,0.25,0.2319004646475191,0.23817408381271374
Odoribacter_splanchnicus,0.120618506435676,2,0.0021873580572728474,0.2011223463671627,0.31710716537096406,0.16666666666666666,0.2036346352236955,0.23608485828764283
Haemophilus_sp_HMSC71H05,0.113338539496841,2,0.002438666360720488,0.191330858902247,0.2979680651765888,0.16666666666666666,0.22703047319868624,0.2342781777036404
Lactococcus_lactis,0.0874459470610778,3,0.002219538856600617,0.1688459074722235,0.22989620096569185,0.25,0.20663054406016992,0.2311161164013192
Enorma_massiliensis,0.0937887935328374,3,0.001886311283396965,0.1809857599906902,0.2465716028130488,0.25,0.1756083366578733,0.23003072528968782
Adlercreutzia_equolifaciens,0.0957052411491135,3,0.001795140483009886,0.18330106723632528,0.2516099612634856,0.25,0.16712068525661056,0.2299241558195469
Roseburia_intestinalis,0.113852415348919,2,0.002177732839170431,0.1649301951733284,0.29931904952899363,0.16666666666666666,0.20273856438119348,0.22874559424022917
Streptococcus_sp_A12,0.140288262536193,1,0.002218322976295483,0.2107064990797294,0.36881913548974093,0.08333333333333333,0.2065173502729944,0.22832365843081165
Eubacterium_ramulus,0.109141911165289,2,0.002329123584211212,0.1787795954988936,0.28693509060528105,0.16666666666666666,0.21683246137264403,0.22731548491860676
Bacteroides_finegoldii,0.10256516852879,2,0.0025816648039334337,0.1751954988790409,0.2696447735845945,0.16666666666666666,0.24034307911814418,0.22627701254670718
Turicimonas_muris,0.116085154366766,2,0.0018670722698335225,0.1658325185808878,0.30518894098997096,0.16666666666666666,0.17381725837691736,0.22386322432355105
Alistipes_shahii,0.0897079412418292,3,0.0017205151747553763,0.1457537989690261,0.2358430045196408,0.25,0.16017335563477017,0.22188054071654886
Ruminococcus_gnavus,0.11356586819712,2,0.001863947946923975,0.1598590371536489,0.2985657144253082,0.16666666666666666,0.17352639591208616,0.22114121808147816
Holdemania_filiformis,0.0813111400898113,3,0.00197165958012619,0.15987695087480308,0.2137677368829949,0.25,0.1835539353282109,0.21889557858525072
Coprococcus_catus,0.113852756521463,2,0.001709497883750965,0.15832226430165108,0.299319946474757,0.16666666666666666,0.15914768815094094,0.21784823396097136
Barnesiella_intestinihominis,0.11224609960031,2,0.0017717386903689546,0.1841075819716568,0.2950960306176811,0.16666666666666666,0.16494206822947508,0.21760726263777455
